chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Fe-O,Fe2O3_19770_POSCAR,35,global_gradient_fallback,5.5129620927,-0.053753847793941,-0.04769614421743714,-0.006057703576503856,5.071925,10.805406,0.00809036
Fe-O,Fe2O3_510080_POSCAR,35,local_max_drop,6.46588875,-0.148669939843,-0.07850660243693112,-0.07016333740606888,5.172711,12.673142,0.01117947
Fe-O,Fe2O3_542896_POSCAR,35,local_max_drop,6.7799381,-0.25799425193745,-0.16496378264140046,-0.09303046929604955,6.258404,12.777576,0.02458515
Fe-O,Fe2O3_557546_POSCAR,35,global_gradient_fallback,6.79420575,-0.12313139404696,-0.11254881204138968,-0.010582582005570315,6.250669,13.316643,0.01526392
Fe-O,Fe2O3_565814_POSCAR,35,local_max_drop,9.7531680156,-0.27540548901691,-0.14841927382608927,-0.1269862151908207,7.802534,19.116209,0.01394111
Fe-O,Fe2O3_685153_POSCAR,35,local_max_drop,11.0191717493,-0.99870686487447,-0.6364038802689147,-0.3623029846055553,10.171543,20.766901,0.05779855
Fe-O,Fe2O3_705547_POSCAR,35,local_max_drop,7.7872136364,-0.24963501462429,-0.15535105978255798,-0.09428395484173202,7.188197,14.675903,0.01988161
Fe-O,Fe2O3_715276_POSCAR,35,local_max_drop,6.6880372782,-0.1459855921543,-0.07636722942671714,-0.06961836272758284,5.144644,12.604378,0.01132627
Fe-O,Fe2O3_715572_POSCAR,35,local_max_drop,9.9145737979,-0.28564130686365,-0.1510290200916791,-0.13461228677197093,7.626595,18.685158,0.01493127
Fe-O,Fe2O3_716814_POSCAR,35,global_gradient_fallback,6.734409875,-0.13345630929537,-0.10779782953588725,-0.025658479759482752,6.465033,13.199443,0.01454386
Fe-O,Fe2O3_776606_POSCAR,35,local_max_drop,6.685347297,-0.28238540933562,-0.1737016401350887,-0.1086837692005313,6.17109,12.599308,0.02614232
Fe-O,Fe32O35_863766_POSCAR,35,local_max_drop,3.8619247904,-0.66571042800882,-0.30989588398168344,-0.3558145440271365,2.935063,7.569373,0.07445253
Fe-O,Fe35O36_694910_POSCAR,35,local_max_drop,10.981810028,-0.77319529632452,-0.39605503164484857,-0.37714026467967143,10.103265,21.524348,0.03397881
Fe-O,Fe38O39_705753_POSCAR,35,local_max_drop,33.0161488675,-0.84818365298229,-0.3768010774276806,-0.47138257555460944,25.092273,64.711652,0.010607
Fe-O,Fe3O4_1181340_POSCAR,35,global_gradient_fallback,3.82351625,-0.047118798501219,-0.029547652409804247,-0.017571146091414754,3.517635,7.494092,0.00713055
Fe-O,Fe3O4_1181546_POSCAR,35,local_max_drop,7.8743106,-0.20098146853,-0.13292329471746223,-0.06805817381253779,7.268594,14.840047,0.01726705
Fe-O,Fe3O4_1181570_POSCAR,35,local_max_drop,3.8131288,-0.22513184912242,-0.13841228862319513,-0.08671956049922488,3.373152,7.186281,0.0370007
Fe-O,Fe3O4_1181657_POSCAR,35,local_max_drop,7.885423,-0.19965273375262,-0.12879805598573874,-0.07085467776688126,6.975567,14.86099,0.01665765
Fe-O,Fe3O4_1181813_POSCAR,35,local_max_drop,7.9146236,-0.39764586292014,-0.25680558576336254,-0.14084027715677744,7.001398,14.916021,0.03310172
Fe-O,Fe3O4_1182229_POSCAR,35,local_max_drop,7.9198691706,-0.40405774512791,-0.2674782464197137,-0.1365794987081963,7.310648,14.925907,0.03448186
Fe-O,Fe3O4_1182249_POSCAR,35,local_max_drop,7.9011800915,-0.40007050778162,-0.2583118057552,-0.14175870202642,6.989505,14.890686,0.03334367
Fe-O,Fe3O4_1185276_POSCAR,35,local_max_drop,7.9378327286,-0.4005577133601,-0.2587078777775686,-0.1418498355825314,7.021929,14.959762,0.03324648
Fe-O,Fe3O4_1192788_POSCAR,35,local_max_drop,3.8462307,-0.22532792115653,-0.12578139139494063,-0.09954652976158937,2.958639,7.248666,0.03300623
Fe-O,Fe3O4_1271729_POSCAR,35,local_max_drop,7.5534213822,-0.20155905365473,-0.13020573937422475,-0.07135331428050526,6.681873,14.235294,0.01757155
Fe-O,Fe3O4_1271821_POSCAR,35,local_max_drop,6.8228419829,-0.20254731449272,-0.13069451413881192,-0.07185280035390809,6.035591,12.858433,0.0195166
Fe-O,Fe3O4_1271978_POSCAR,35,local_max_drop,7.5405899642,-0.20182442769952,-0.13040968860271215,-0.07141473909680784,6.670522,14.211112,0.01762398
Fe-O,Fe3O4_1379262_POSCAR,35,local_max_drop,7.9189201,-0.40321014272862,-0.26798369382961856,-0.13522644889900143,7.309772,14.924119,0.03455725
Fe-O,Fe3O4_18731_POSCAR,35,global_gradient_fallback,6.3883926375,-0.11107440912281,-0.07317385641616737,-0.03790055270664262,5.877321,12.52125,0.01082408
Fe-O,Fe3O4_19306_POSCAR,35,global_gradient_fallback,6.4643174029,-0.086438750428642,-0.06984715740026794,-0.01659159302837407,5.947172,12.670062,0.01012686
